,AgencyCode,AgencyName,CategoryOfFundingActivity.Element:Text,Description
94882,HUD,Department of Housing and Urban Development,HO,"The ALCP provides funding for the physical costs of converting some or all of the units of an eligible multifamily development into an ALF or SEH, including unit configuration and related common and service space, and any necessary remodeling, consistent with HUD or the state&apos;s statute/regulations (whichever is more stringent), including compliance with all applicable accessibility laws. Typical funding will cover basic physical conversion of existing project units, as well as related common and service space. For ALF conversions, there must be sufficient community space to accommodate a central kitchen or dining facility; if meals are prepared at an off-site location, the preparation area of the facility must be of sufficient size to allow for the installation of a full kitchen. For both ALF and SEH conversions, there must be community space available to all residents of the project. All applicants seeking ALCP funding must provide supportive services for the residents either directly or through a third party. The application must include a firm commitment, letter of support, or a Memorandum of Understanding (MOU) for the supportive services offered within the ALF or SEH. The project may charge assisted living or service-enriched residents for meals and/or service fees. Residents may contract with third party agencies directly for nursing, therapy, or other services not offered by the ALF or SEH. Refer to Section III.C.3.e, for more information about Meals and Supportive Services. Residents must be offered, but cannot be required to accept, any supportive services. "
94941,VA-HPGPDP,Homeless Providers Grant and Per Diem Program,HO,"SUMMARY: The Department of Veterans Affairs (VA) is announcing the availability of funds for currently operational fiscal year (FY) 2009 VA Grant and Per Diem Special Need Grant Recipients in conjunction with their collaborative VA Special Need partners and currently operational VA Grant and Per Diem Special Need Grant Recipients not involved with collaborative VA partners. All current VA Grant and Per Diem Special Need Grant recipients will have the opportunity to reapply for assistance under the Special Need Grant Component of VA&apos;s Homeless Providers Grant and Per Diem Program. The focus of this Notice of Funding Availability (NOFA) is to encourage applicants to continue to deliver services to the homeless Special Need veteran population as outlined in their FY 2009 Special Need grant application. This Notice contains information concerning the program, application process, and amount of funding available. DATES: An original signed and dated request for re-application letter (on agency letterhead) for assistance under the VA&apos;s Homeless Providers Grant and Per Diem Program must be received in the Grant and Per Diem Program Office, by 4 p.m. Eastern Time on Thursday, August 25, 2011 (see re-application requirements below). Requests for re-application may not be sent by facsimile (Fax). In the interest of fairness to all competing applicants, this deadline is firm as to date and hour, and VA will treat as ineligible for consideration any request for re- application that is received after the deadline. Applicants should take this practice into account and make early submission of their material to avoid any risk of loss of eligibility brought about by unanticipated delays or other delivery-related problems. For a Copy of the Application Package: An application package is not needed for this NOFA. Applicants submitting a letter on their agency&apos;s letterhead requesting re-application agree that VA shall use the applicant&apos;s previously awarded FY 2009 Special Need grant application for scoring purposes (see re-application requirements in this NOFA). Submission of Application: An original and complete letter requesting re-application with project number (see re-application requirements in this NOFA) must be submitted to the following address: VA&apos;s Homeless Providers Grant and Per Diem Program Office, 10770 North 46th Street, Suite C-200, Tampa, Florida 33617. Letters of re- application must be received in the Grant and Per Diem Program office by the re-application deadline. Any additional materials arriving separately will not be included in the re-application package for consideration. Allocation: Approximately $11 million is available for current Grant and Per Diem Special Need grant projects. Funding will be for a period beginning on October 1, 2011 and ending on September 30, 2013. Applicants are limited to a maximum award equal to their FY 2009 Special Need award plus a 5-percent increase. For example: $100,000 award in FY 2009 would be $100,000 plus 5 percent or $105,000. Applicants should ensure their funding requests are based on this 24-month period and should be approximately in line with prior expenditures. Based on Grant and Per Diem funding availability, approximately, $8 million is expected to be made available over the specified time (internally) for the current VA collaborative partners. The maximum award to each VA collaborative partner will follow the same methodology; limited to a maximum award equal to their FY 2009 Special Need award plus a 5-percent increase. The goal of this Notice is to ensure a continuation of Special Need services to homeless veterans and their VA collaborative partners. REVIEW THE COMPLETE FEDERAL REGISTER PUBLICATION FOR ALL SUBMISSION AND APPLICATION REQUIRMENTS. "
95565,HUD,Department of Housing and Urban Development,HO,"Pursuant to the Consolidated Appropriations Act of 2010 (Pub L. 111-117), this Program will support innovations in financing and conducting applied research to address primary barriers to the retrofitting of certain multifamily residential properties to be more energy efficient on a cost effective basis. The goals of this NOFA are to: (1) demonstrate solutions to the primary and longstanding challenges to implementing energy efficiency and renewable energy improvements in existing affordable multifamily properties; (2) leverage private capital and additional public funding to demonstrate &#239;&#191;&#189;proof of concept&#239;&#191;&#189; of specific models; and (3) conduct applied research to document and disseminate mainstream, scalable approaches to retrofitting affordable multifamily properties."
95715,HUD,Department of Housing and Urban Development,HO,"The CoC Program is designed to promote a community-wide commitment to the goal of ending homelessness; to provide funding for efforts by nonprofit providers, States, and local governments to quickly re-house the homeless while minimizing the trauma and dislocation caused by homelessness; to promote access to and effective utilization of mainstream programs by the homeless; and to optimize self-sufficiency among those experiencing homelessness. For the CoC Program Competition, approximately $1.7 billion is available for FY 2013 after adjustments were made as a result of sequestration. HUD does not anticipate that this will be adequate to fund all existing projects eligible for renewal with FY2013 funds. HUD may add to this amount any available funds that have been carried over or recaptured from previous fiscal years. All of the requirements for applying for FY 2013 funds, including requirements for the entire CoC Consolidated Application and the total amount of funding available, are contained in this NOFA. For FY 2014, the level of funding for the CoC Program is not yet known. The Continuing Appropriations Act, 2014 (Public Law 113-46, approved October 17, 2013) funds HUD operations and programs at FY 2013 levels, but provides such funding only through January 15, 2014. Nevertheless for purposes of expediency and efficiency, this FY 2013 &#150; FY 2014 CoC Program NOFA (CoC Program NOFA) will award funds made available for the CoC Program under FY 2013 and FY 2014. When the level of funding is known for FY 2014, HUD will announce this amount through separate notice. In this separate notice; HUD will also publish the deadlines for submitting the information required by HUD. For more information on applying for FY 2014 funds under this NOFA. "
96044,USDOJ-OJP-OVW,Office on Violence Against Women,HO,"The Grants to Enhance Culturally Specific Services for Victims of Sexual Assault, Domestic Violence, Dating Violence and Stalking Program supports community-based non-profit organizations in providing culturally relevant services to victims of sexual assault, domestic violence, dating violence, and stalking."
96079,USDOJ-OJP-OVW,Office on Violence Against Women,HO,All applications must be submitted through DOJ&apos;s online Grants Management System (GMS). Refer to &quot;How to Apply&quot; for more information on how to register with GMS on page 11 of the solicitation.
96222,HUD,Department of Housing and Urban Development,HO,The purpose of the CoC Homeless Assistance Programs is to reduce the incidence of homelessness in CoC communities by assisting homeless individuals and families move to self-sufficiency and permanent housing. CoCs that sustain current successful interventions and advance HUD&#239;&#191;&#189;s national goals will be scored higher.
96313,USDOJ-OJP-OVW,Office on Violence Against Women,HO,"All applications must be submitted through DOJ&apos;s online Grants Management System (GMS). Refer to &quot;How to Apply&quot; for more information on how to register with GMS on page 11 of the solicitation. The OVW Transitional Housing Assistance Grant Program for Victims of Domestic Violence, Dating Violence, Stalking or Sexual Assault Program (Transitional Housing Assistance Program) focuses on a holistic, victim-centered approach to providing transitional housing services that move survivors into permanent housing. Grants made under this grant program supports projects that provide assistance to victims of sexual assault, domestic violence, dating violence, and/or stalking who are in need of transitional housing, short-term housing assistance, and related supportive services. Successful transitional housing programs provide a wide range of flexible and optional services that reflect the differences and individual needs of victims and that allow victims to choose the course of action that is best for them. Transitional housing programs may offer services such as counseling, support groups, safety planning, and advocacy services as well as practical services such as licensed child care, employment services, transportation vouchers, telephones, and referrals to other agencies. Trained staff and case managers may also be available to work with survivors to help them determine and reach their goals of permanent housing."
96432,CNCS,Corporation for National and Community Service,HO,"TO APPLY FOR THIS GRANT, YOU MUST GO TO THE CORPORATION&apos;S WEBSITE, http://www.nationalservice.gov/for_organizations/funding/nofa_detail.asp?tbl_nofa_id=92. The purpose of planning grants is to support the development of AmeriCorps programs that will engage AmeriCorps members in evidence-based interventions to solve community problems. Planning grant recipients are expected to be better prepared to compete for an AmeriCorps program grant in the following grant cycle. Planning grants may not be used to support AmeriCorps members. An AmeriCorps member is an individual who is enrolled in an approved national service position and engages in community service. Members may receive a living allowance and other benefits while serving. Upon successful completion of their service members receive a Segal AmeriCorps Education Award from the National Service Trust. The purpose of CNCS is to maximize the power of service and volunteering to improve lives in communities across the country. In the Edward M. Kennedy Serve America Act, Congress directed CNCS to focus national service in areas where service can make a major impact, including education, energy conservation, health, economic opportunity for economically vulnerable individuals, increasing service by and for veterans, and providing disaster services. CNCS is carrying out Congress&#239;&#191;&#189;s intent by targeting this AmeriCorps Planning Grant funding in the focus area of Veterans and Military Families. In accordance with the Act, through this Notice and its other activities, CNCS seeks to: &#239;&#191;&#189; Direct the power of national service to solve a common set of challenges. &#239;&#191;&#189; Expand opportunities for all Americans to serve. &#239;&#191;&#189; Build the enduring capacity of individuals, organizations and communities to effectively use service and volunteering to solve community problems. &#239;&#191;&#189; Embrace innovative solutions that work. Veterans and Military Families Focus Area Description: Grants will positively impact the quality of life of veterans and improve military family strength. Grant activities will increase: &#239;&#191;&#189; the number of veterans and military service members and their families served by CNCS-supported programs, and &#239;&#191;&#189; the number of veterans and military family members engaged in service provision through CNCS-supported programs. Encore Programs Congress set a goal that 10 percent of AmeriCorps funding should support encore service programs. CNCS seeks to meet that 10 percent target in this competition and encourages programs that plan to engage a significant number of participants age 55 or older to apply. B. What are the 2012 AmeriCorps planning grant funding priorities? CNCS expects to invest the available funding to applicants proposing programming in the Focus Area of Veterans and Military Families. To meet this goal, CNCS will give priority consideration to the following, in descending order of preference: &#239;&#191;&#189; Tier 1: Applicants proposing to address outcomes identified in the Veterans and Military Families Priority Measures. &#239;&#191;&#189; Tier 2: Applicants proposing to develop a program which will address outcomes identified in the Pilot Measures. &#239;&#191;&#189; Tier 3: Applicants proposing to address other outcomes in the Veterans and Military Families Focus Area. A list of Priority and Pilot Measures can be found in Section VIII. below. Applicants proposing programs that receive priority consideration are not guaranteed funding. CNCS will pursue a balanced portfolio across the Priorities, and other considerations outlined below in Section V. B. Furthermore, applicants must demonstrate significant program focus, design and impact to receive priority consideration. It will not be sufficient for an applicant to propose veterans and military family service as one of several aspects of the proposed program. While other services may be provided, the clear focus should be on veterans and/or military families. "
96459,CNCS,Corporation for National and Community Service,HO,"TO APPLY FOR THIS GRANT, YOU MUST GO TO THE CORPORATION&apos;S WEBSITE, http://www.nationalservice.gov/for_organizations/funding/nofa_detail.asp?tbl_nofa_id=93. A. What is the purpose of AmeriCorps Planning Grants? The purpose of planning grants is to support the development of AmeriCorps programs that will engage AmeriCorps members in evidence-based interventions to solve community problems. Planning grant recipients are expected to be better prepared to compete for an AmeriCorps program grant in the following grant cycle. Planning grants may not be used to support AmeriCorps members. An AmeriCorps member is an individual who is enrolled in an approved national service position and engages in community service. Members may receive a living allowance and other benefits while serving. Upon successful completion of their service members receive a Segal AmeriCorps Education Award from the National Service Trust. The purpose of CNCS is to maximize the power of service and volunteering to improve lives in communities across the country. In the Edward M. Kennedy Serve America Act, Congress directed CNCS to focus national service in areas where service can make a major impact, including education, energy conservation, health, economic opportunity for economically vulnerable individuals, increasing service by and for veterans, and providing disaster services. CNCS is carrying out Congress&#239;&#191;&#189;s intent by targeting AmeriCorps funding in these six focus areas. In accordance with the Act, through this Notice and its other activities, CNCS seeks to: &#239;&#191;&#189; Direct the power of national service to solve a common set of challenges. &#239;&#191;&#189; Expand opportunities for all Americans to serve. &#239;&#191;&#189; Build the enduring capacity of individuals, organizations and communities to effectively use service and volunteering to solve community problems. &#239;&#191;&#189; Embrace innovative solutions that work. Brief descriptions of the six Focus Areas follow. Disaster Services: Grants will help individuals and communities prepare, respond, recover, and mitigate disasters and increase community resiliency. Grant activities will: &#239;&#191;&#189; increase the preparedness of individuals, &#239;&#191;&#189; increase individuals&#239;&#191;&#189; readiness to respond, &#239;&#191;&#189; help individuals recover from disasters, and &#239;&#191;&#189; help individuals mitigate disasters. Economic Opportunity: Grants will provide support and/or facilitate access to services and resources that contribute to the improved economic well-being and security of economically disadvantaged people. Grant activities will help economically disadvantaged people to: &#239;&#191;&#189; have improved access to services and benefits aimed at contributing to their enhanced financial literacy, &#239;&#191;&#189; transition into or remain in safe, healthy, affordable housing, and &#239;&#191;&#189; have improved employability leading to increased success in becoming employed. Education: Grants will provide support and/or facilitate access to services and resources that contribute to improved educational outcomes for economically disadvantaged people, especially children. CNCS is particularly interested in program designs that support youth engagement and service-learning as strategies to achieve high educational outcomes. Grant activities will improve: &#239;&#191;&#189; school readiness for economically disadvantaged young children, &#239;&#191;&#189; educational and behavioral outcomes of students in low-achieving elementary, middle, and high schools, and &#239;&#191;&#189; the preparation for and prospects of success in post-secondary education institutions for economically disadvantaged students. Environmental Stewardship: Grants will provide direct services that contribute to increased energy and water efficiency, renewable energy use, or improving at-risk ecosystems, and support increased citizen behavioral change leading to increased efficiency, renewable energy use, and ecosystem improvements particularly for economically disadvantaged households and economically disadvantaged communities. Grant activities will: &#239;&#191;&#189; decrease energy and water consumption, &#239;&#191;&#189; improve at-risk ecosystems, &#239;&#191;&#189; increase behavioral changes that lead directly to decreased energy and water consumption or improve at-risk ecosystems, and &#239;&#191;&#189; increase green training opportunities that may lead to decreased energy and water consumption or improve at-risk ecosystems. Healthy Futures: Grants will meet health needs within communities including access to care, aging in place, and addressing childhood obesity. Grant activities will: &#239;&#191;&#189; increase seniors&#239;&#191;&#189; ability to remain in their own homes with the same or improved quality of life for as long as possible, &#239;&#191;&#189; increase physical activity and improve nutrition in youth with the purpose of reducing childhood obesity, and &#239;&#191;&#189; improve access to primary and preventive health care for communities served by CNCS-supported programs (access to health care). Veterans and Military Families: Grants will positively impact the quality of life of veterans and improve military family strength. Grant activities will increase: &#239;&#191;&#189; the number of veterans and military service members and their families served by CNCS-supported programs, and &#239;&#191;&#189; the number of veterans and military family members engaged in service provision through CNCS-supported programs. Brief description of Capacity Building follows. Capacity Building: In addition to the six Focus Areas described above, grants also will provide support for capacity building activities provided by national service participants. As a general rule, CNCS considers capacity building activities to be indirect services that enable CNCS-supported organizations to provide more, better and sustained direct services. Capacity building activities cannot be solely intended to support the administration or operations of the organization. Examples of capacity building activities include: &#239;&#191;&#189; Recruiting and/or managing community volunteers &#239;&#191;&#189; Implementing effective volunteer management practices &#239;&#191;&#189; Completing community assessments that identify goals and recommendations &#239;&#191;&#189; Developing new systems and business processes (technology, performance management, training, etc.) or enhancing existing systems and business processes Encore Programs Congress set a goal that 10 percent of AmeriCorps funding should support encore service programs. CNCS seeks to meet that 10 percent target in this competition and encourages programs that plan to engage a significant number of participants age 55 or older to apply. B. What are the 2012 AmeriCorps planning grant funding priorities? In the 2012 planning grant competition CNCS expects to invest a significant amount of available funding to programs working in the six Focus Areas of Disaster Services, Education, Environmental Stewardship, Healthy Futures, Opportunity, and Veterans and Military Families. In particular, CNCS seeks to target its grantmaking in the Education and Disaster Services Focus Areas for greater impact and increase its investment in the Veterans and Military Families Focus Area. To meet these goals, CNCS will give priority consideration to the following, in descending order of preference: &#239;&#191;&#189; Tier 1: Applicants proposing to address outcomes identified in the Education, Veterans and Military Families, and Disaster Services Priority Measures. &#239;&#191;&#189; Tier 2: Applicants proposing to address outcomes identified in the Economic Opportunity, Environmental Stewardship, Healthy Futures and Capacity Building Priority Measures. &#239;&#191;&#189; Tier 3: Applicants proposing to address outcomes identified in the Pilot Measures. &#239;&#191;&#189; Tier 4: Applicants proposing other outcomes in the Focus Areas. &#239;&#191;&#189; Tier 5: Applicants proposing outcomes that don&#239;&#191;&#189;t fall within the Focus Areas. A list of Priority and Pilot Outcomes can be found in Section VIII. below. Applicants proposing programs that receive priority consideration are not guaranteed funding. CNCS will pursue a balanced portfolio across the Focus Areas, and other considerations outlined below in Section V. B. Furthermore, applicants must demonstrate significant program focus, design and impact to receive priority consideration. "
96478,VA-OMH,VA Office of Mental Health,HO,"VA is announcing the availability of funds for supportive services grants under the SSVF Program. The NOFA contains information concerning the SSVF Program, initial and renewal supportive services grant application processes, and amount of funding available."
96598,CNCS,Corporation for National and Community Service,HO,"TO APPLY FOR THIS COMPETITION, APPLICATIONS MUST BE SUBMITTED THROUGH THE CORPORATION&apos;S WEBSITE, http://www.nationalservice.gov/for_organizations/funding/nofa_detail.asp?tbl_nofa_id=91. The purpose of CNCS is to maximize the power of service and volunteering to improve lives in communities across the country. In the Edward M. Kennedy Serve America Act, Congress directed CNCS to focus national service in areas where service can make a major impact, including education, energy conservation, health, economic opportunity for economically vulnerable individuals, increasing service by and for veterans, and providing disaster services. CNCS is carrying out Congress&#239;&#191;&#189;s intent by targeting AmeriCorps funding in these six focus areas. In accordance with the Act, through this Notice and its other activities, CNCS seeks to: &#239;&#191;&#189; Direct the power of national service to solve a common set of challenges. &#239;&#191;&#189; Expand opportunities for all Americans to serve. &#239;&#191;&#189; Build the enduring capacity of individuals, organizations and communities to effectively use service and volunteering to solve community problems. &#239;&#191;&#189; Embrace innovative solutions that work. AmeriCorps grants are awarded to eligible organizations engaged in evidence-based interventions that utilize AmeriCorps members to strengthen communities. An AmeriCorps member is an individual who is enrolled in an approved national service position and engages in community service. Members may receive a living allowance and other benefits while serving. Upon successful completion of their service members receive a Segal AmeriCorps Education Award from the National Service Trust. Brief descriptions of the six Focus Areas follow. Disaster Services: Grants will help individuals and communities prepare, respond, recover, and mitigate disasters and increase community resiliency. Grant activities will: &#239;&#191;&#189; increase the preparedness of individuals, &#239;&#191;&#189; increase individuals&#239;&#191;&#189; readiness to respond, &#239;&#191;&#189; help individuals recover from disasters, and &#239;&#191;&#189; help individuals mitigate disasters. Economic Opportunity: Grants will provide support and/or facilitate access to services and resources that contribute to the improved economic well-being and security of economically disadvantaged people. Grant activities will help economically disadvantaged people to: &#239;&#191;&#189; have improved access to services and benefits aimed at contributing to their enhanced financial literacy, &#239;&#191;&#189; transition into or remain in safe, healthy, affordable housing, and &#239;&#191;&#189; have improved employability leading to increased success in becoming employed. Education: Grants will provide support and/or facilitate access to services and resources that contribute to improved educational outcomes for economically disadvantaged people, especially children. CNCS is particularly interested in program designs that support youth engagement and service-learning as strategies to achieve high educational outcomes. Grant activities will improve: &#239;&#191;&#189; school readiness for economically disadvantaged young children, &#239;&#191;&#189; educational and behavioral outcomes of students in low-achieving elementary, middle, and high schools, and &#239;&#191;&#189; the preparation for and prospects of success in post-secondary education institutions for economically disadvantaged students. Environmental Stewardship: Grants will provide direct services that contribute to increased energy and water efficiency, renewable energy use, or improving at-risk ecosystems, and support increased citizen behavioral change leading to increased efficiency, renewable energy use, and ecosystem improvements particularly for economically disadvantaged households and economically disadvantaged communities. Grant activities will: &#239;&#191;&#189; decrease energy and water consumption, &#239;&#191;&#189; improve at-risk ecosystems, &#239;&#191;&#189; increase behavioral changes that lead directly to decreased energy and water consumption or improve at-risk ecosystems, and &#239;&#191;&#189; increase green training opportunities that may lead to decreased energy and water consumption or improve at-risk ecosystems. Healthy Futures: Grants will meet health needs within communities including access to care, aging in place, and addressing childhood obesity. Grant activities will: &#239;&#191;&#189; increase seniors&#239;&#191;&#189; ability to remain in their own homes with the same or improved quality of life for as long as possible, &#239;&#191;&#189; increase physical activity and improve nutrition in youth with the purpose of reducing childhood obesity, and &#239;&#191;&#189; improve access to primary and preventive health care for communities served by CNCS-supported programs (access to health care). Veterans and Military Families: Grants will positively impact the quality of life of veterans and improve military family strength. Grant activities will increase: &#239;&#191;&#189; the number of veterans and military service members and their families served by CNCS-supported programs, and &#239;&#191;&#189; the number of veterans and military family members engaged in service provision through CNCS-supported programs. Brief description of Capacity Building follows. Capacity Building: In addition to the six Focus Areas described above, grants also will provide support for capacity building activities provided by national service participants. As a general rule, CNCS considers capacity building activities to be indirect services that enable CNCS-supported organizations to provide more, better and sustained direct services. Capacity building activities cannot be solely intended to support the administration or operations of the organization. Examples of capacity building activities include: &#239;&#191;&#189; Recruiting and/or managing community volunteers. &#239;&#191;&#189; Implementing effective volunteer management practices. &#239;&#191;&#189; Completing community assessments that identify goals and recommendations. &#239;&#191;&#189; Developing new systems and business processes (technology, performance management, training, etc.) or enhancing existing systems and business processes. National Performance Measures: In 2012, CNCS will implement the third year of the National Performance Measures Pilot. National Performance Measures allow CNCS to demonstrate the aggregated impact of all AmeriCorps programs. This year, we have focused and refined the Measures and aligned them with our Strategic Plan. This refinement process included adding a few new Measures to fill data gaps. Our National Performance Measures are split into two groups: Priority Measures and Pilot Measures. &#239;&#191;&#189; Priority Measures are a subset of the original National Performance Measures Pilot with the addition of capacity building measures. &#239;&#191;&#189; Pilot Measures are the remaining measures from the National Performance Measures Pilot with the addition of capacity building measures not included in the Priority Measures. New and recompeting applicants are strongly encouraged to utilize the National Performance Measures because funding priority will be given to these applicants. (Our funding priority tiers are described in detail in Part B. below, and the National Performance Measures are listed by Tier in Section IX.) Encore Programs Congress set a goal that 10 percent of AmeriCorps funding should support encore service programs that engage a significant number of participants age 55 or older. CNCS seeks to meet that 10 percent target in this competition and encourages encore programs to apply. B. What are the 2012 AmeriCorps funding priorities? In the 2012 competition CNCS expects to invest a significant amount of available funding to programs working in the six Focus Areas of Disaster Services, Economic Opportunity, Education, Environmental Stewardship, Healthy Futures, and Veterans and Military Families. "
97125,HUD,Department of Housing and Urban Development,HO,"Requirements. The General Section describes the requirements that are applicable to all HUD FY 2014 Program NOFAs. The General Section provides summary information on the Department&#146;s priorities and strategic goals. Each Program NOFA will describe additional procedures and requirements that apply to the individual program, including a description of the eligible applicants, eligible activities, threshold requirements, cross-program requirements such as nondiscrimination, environmental protection, and any additional program requirements or limitations. To adequately address all of the application requirements for any program, please carefully read and respond to both this General Section and the applicable Program NOFA."
97153,USAID,Agency for International Development,HO,"This Annual Program Statement announces opportunities for the private sector to work with USAID to build Global Development Alliances (GDAs) that address important business interests and objectives, advance USAID&#146;s strategic priorities and objectives, and achieve sustainable development outcomes, results and impact. Any private sector organization interested in building a GDA with USAID, and any organization interested in working with the private sector and USAID to build a GDA, should read this APS in its entirety and then contact the USAID Mission, Bureau, or Independent Office with which the organization would like to collaborate. Note: This solicitation is an Annual Program Statement. It is not a Request for Applications (RFA) or a Request for Proposals (RFP). This APS requests Global Development Alliance Concept Papers. Based on those Concept Papers, USAID will determine whether to request a full application from an appropriate partner in the proposed alliance. In addition, this APS is not supported by specific funds. Any funding for any alliance proposed under this APS would have to be requested from the specific USAID Mission, Bureau or Independent Office with which the prospective alliance partners seek to collaborate and to which the Concept Paper will be submitted."
97173,HUD,Department of Housing and Urban Development,HO,"The Sustainable Communities Regional Planning Grant Program (Program) supports metropolitan and multijurisdictional planning efforts that integrate housing, land use, economic and workforce development, transportation, and infrastructure investments in a manner that empowers jurisdictions to consider the interdependent challenges of: (1) economic competitiveness and revitalization; (2) social equity, inclusion, and access to opportunity; (3) energy use and climate change; and (4) public health and environmental impact. The Program places a priority on investing in partnerships, including nontraditional partnerships (e.g., arts and culture, recreation, public health, food systems, regional planning agencies and public education entities) that translate the Livability Principles (Section I.C.1) into strategies that direct long-term development and reinvestment, demonstrate a commitment to addressing issues of regional significance, use data to set and monitor progress toward performance goals, and engage stakeholders and residents in meaningful decision-making roles."
97186,CNCS,Corporation for National and Community Service,HO,"With the FY 2014 AmeriCorps Indian Tribes Notice of Funding Opportunity, the Corporation for National and Community Service (CNCS) seeks to prioritize the investment of national service resources in economic opportunity, education, veterans and military families, and disaster services in Native American communities. Through this grant competition, CNCS will continue to focus on national service programs that: &#149; Improve academic outcomes for children, youth, and young adults - reflecting the extensive experience and past success of national service programs in education; &#149; Serve veterans and military families or engage veterans and military families in service; &#149; Increase community resiliency through disaster preparation, response, recovery, and mitigation; and &#149; Increase economic opportunities for communities and AmeriCorps members. Contact: AmeriCorpsGrants@cns.gov or call 202.6067508 to leave a voicemail "
97253,CNCS,Corporation for National and Community Service,HO,"The Social Innovation awards grants to grantmaking institutions, referred to as &#147;intermediaries.&#148; These intermediaries in turn competitively select, provide grants to, and otherwise support high-performing community-based nonprofit organizations to implement evidence-based programs in the areas of healthy futures, economic opportunity and youth development. The intermediaries and the nonprofits must match the grant funds they receive one-to-one in cash from with non-federal sources."
97452,HUD,Department of Housing and Urban Development,HO,"This Section 811 PRA Program seeks to identify, stimulate, and support sustaining state approaches that will transform the provision of housing for persons with disabilities while providing access to appropriate supports and services. This NOFA will provide project-based rental assistance funding to housing agencies. These funds are only available to be used as project-based rental assistance for housing units integrated in multifamily properties that are set-aside for extremely low-income persons with disabilities who are eligible for community-based long term care services and supports provided under a State Medicaid Program or other comparable long-term services program, plus administrative costs as defined in Section I.C.1 below. This is not a voucher program. This Section 811 PRA program will support successful and promising state partnership models that have been developed to increase the number of permanent housing units for persons with disabilities with access to appropriate services."
97488,HUD,Department of Housing and Urban Development,HO,"The purpose of HUD&#146;s Housing Counseling Grant Program is to provide funds that shall be used for providing counseling and advice to tenants and homeowners, both current and prospective, with respect to property maintenance, financial management/ literacy, and such other matters as may be appropriate to assist them in improving their housing conditions, meeting their financial needs, and fulfilling the responsibilities of tenancy or homeownership. Funding provided by this NOFA is intended to support HUD-approved housing counseling agencies to respond flexibly to the needs of residents and neighborhoods, and deliver a wide variety of housing counseling services to homebuyers, homeowners, renters, and the homeless. This NOFA plays an integral role in the continued stabilization of our nation&#146;s housing market by helping individuals and families obtain housing and stay in their homes through responsible homeownership or affordable rental housing. Traditionally underserved populations, such as minorities, the elderly, veterans, persons with disabilities, persons with limited English proficiency and residents of rural areas, face additional housing and economic challenges. HUD&#146;s Comprehensive Housing Counseling Grant Program funds housing counselors who provide expert, unbiased guidance and information to help families and individuals meet their housing needs and improve their financial situations. Moreover, HUD grants assist housing counselors to act as an important safeguard against scams and discrimination, and to act as an important gateway to local, state, federal and private housing assistance."
98173,HUD,Department of Housing and Urban Development,HO,"Awards are available to provide, under cooperative agreements with HUD, training activities designed to improve and standardize the quality of counseling provided by housing counselors employed by &#8220;participating agencies.&#8221; Participating agencies are all housing counseling and intermediary organizations participating in HUD&#8217;s Housing Counseling Program, including HUD-approved agencies, affiliates and branches of HUD-approved intermediaries, HUD-approved multi-state organizations, and state housing finance agencies."
98471,USAID,Agency for International Development,HO,"Development Innovation Ventures (DIV) supports the piloting and rigorous testing of innovative approaches to solving international development problems and transitioning innovations with evidence of impact and cost effectiveness to scale. DIV&#146;s aim is to create a portfolio of innovations that improves lives for millions of the poor around the world, especially individuals in poverty or extreme poverty, and other vulnerable groups. DIV funds innovation that targets USAID&#146;s Mission Statement . Innovations could include new technologies, new ways of delivering and/or financing goods and services, more cost-effective adaptations of existing solutions, new ways to increase uptake of existing proven solutions, etc. The more funding requested, the more confidence DIV will need in the evidence-base underpinning the innovation. This includes gathering appropriate evidence of impact and/or commercial viability at each stage and for each type of scale path. Solutions must have a potential pathway to scale commercially or through incorporation into the practices of developing country governments, donors, philanthropists, or through a combination of commercial and public or philanthropic support. Innovations should ultimately reach sustainability without continuing DIV support. DIV employs a staged funding model, with size of investment commensurate with evidence of potential for success. DIV recognizes that organizations supported will need flexibility to iterate and adapt innovations and DIV strives to provide this flexibility. To attract the best innovations, applications on all development topics and sectors are welcome. DIV welcomes applications from U.S. and non-US organizations, individuals, non-profit, and for-profit entities, provided their work is in a country where USAID operates. There are several types of projects that are not a good fit for DIV&#146;s objectives. This includes standard development practice (e.g. building schools), basic scientific research (e.g. laboratory research), a planning tool or diagnostic that is unlikely to result in measurable development impacts, innovations that are applicable only in very limited context, or private sector applications to expand businesses in developing countries that are unlikely to lead to significant development impacts. Learn more about DIV, including examples of past winners, at www.usaid.gov/DIV "
98687,HUD,Department of Housing and Urban Development,HO,"The purpose of the FSS program is to promote thedevelopment of local strategies to coordinate the use of assistance under the Housing Choice Voucher and Public Housing programs with public and private resources to enable participating families to increase earned income and financial literacy, reduce or eliminate the need for welfare assistance, and make progress toward economic independence and self-sufficiency."
98749,USDOJ-OJP-OVW,Office on Violence Against Women,HO,Applications will be submitted through DOJ&apos;s Grants Management System (GMS). See &quot;How to Apply&quot; on page 5 of the solicitation for more information. OVW FY14 Violence Against Women Bakken Region Initiative: Tribal Special Assistant U.S. Attorney (Tribal SAUSA)
98758,USDOJ-OJP-OVW,Office on Violence Against Women,HO,Applications will be submitted through DOJ&apos;s Grants Management System (GMS). See &quot;How to Apply&quot; on page 12 of the solicitation for more information. OVW FY14 Violence Against Women Bakken Region Initiative: Enhanced Response to Victims
